"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeGoalsFull","AwayGoalsFull","ExtraTimePossible","HomeAdvantage"
"Kenya","Libya","2017-12-05","CECAFA Cup",0,0,0,0,0,1
"Ethiopia","South Sudan","2017-12-05","CECAFA Cup",3,0,3,0,0,0
"East Timor","Philippines","2017-12-05","Friendly tournament",1,0,1,0,0,0
"Taiwan","Laos","2017-12-05","Friendly tournament",2,0,2,0,0,1
"Burundi","Uganda","2017-12-04","CECAFA Cup",0,0,0,0,0,0
"Taiwan","East Timor","2017-12-04","Friendly tournament",3,1,3,1,0,1
"Kenya","Rwanda","2017-12-03","CECAFA Cup",2,0,2,0,0,1
"Libya","Tanzania","2017-12-03","CECAFA Cup",0,0,0,0,0,0
"Taiwan","Philippines","2017-12-03","Friendly tournament",3,0,3,0,0,1
"Laos","East Timor","2017-12-03","Friendly tournament",2,1,2,1,0,0
"Vanuatu","New Caledonia","2017-12-02","Pacific Mini Games",2,1,2,1,0,1
"Saint Kitts and Nevis","Grenada","2017-12-02","Friendly",1,0,1,0,0,1
"Fiji","Tuvalu","2017-12-02","Pacific Mini Games",8,0,8,0,0,0
"Solomon Islands","Tonga","2017-12-02","Pacific Mini Games",8,0,8,0,0,0
"Philippines","Laos","2017-12-01","Friendly tournament",3,1,3,1,0,0
"New Caledonia","Estonia","2017-11-26","Friendly",1,1,1,1,0,1
"Indonesia","Guyana","2017-11-25","Friendly",2,1,2,1,0,1
"Vanuatu","Estonia","2017-11-23","Friendly",0,1,0,1,0,1
"Fiji","Estonia","2017-11-19","Friendly",0,2,0,2,0,1
"Peru","New Zealand","2017-11-15","World Cup qualifier",2,0,2,0,0,1
"Macao","Kyrgyzstan","2017-11-14","Asian Cup qualifier",3,4,3,4,0,1
"Burkina Faso","Cape Verde","2017-11-14","World Cup qualifier",4,0,4,0,0,1
"Algeria","Central African Republic","2017-11-14","Friendly",3,0,3,0,0,1
"Palestine","Maldives","2017-11-14","Asian Cup qualifier",8,1,8,1,0,1
"Portugal","United States","2017-11-14","Friendly",1,1,1,1,0,1
"Ireland","Denmark","2017-11-14","World Cup qualifier",1,5,1,5,0,1
"United Arab Emirates","Uzbekistan","2017-11-14","Friendly",1,0,1,0,0,1
"Senegal","South Africa","2017-11-14","World Cup qualifier",2,1,2,1,0,1
"Hong Kong","Lebanon","2017-11-14","Asian Cup qualifier",0,1,0,1,0,1
"Vietnam","Afghanistan","2017-11-14","Asian Cup qualifier",0,0,0,0,0,1
"Cambodia","Jordan","2017-11-14","Asian Cup qualifier",0,1,0,1,0,1
"Trinidad and Tobago","Guyana","2017-11-14","Friendly",1,1,1,1,0,1
"England","Brazil","2017-11-14","Friendly",0,0,0,0,0,1
"South Korea","Serbia","2017-11-14","Friendly",1,1,1,1,0,1
"Belgium","Japan","2017-11-14","Friendly",1,0,1,0,0,1
"Nigeria","Argentina","2017-11-14","Friendly",4,2,4,2,0,0
"Tajikistan","Yemen","2017-11-14","Asian Cup qualifier",0,0,0,0,0,1
"Russia","Spain","2017-11-14","Friendly",3,3,3,3,0,1
"Bhutan","Oman","2017-11-14","Asian Cup qualifier",2,4,2,4,0,1
"Nepal","Philippines","2017-11-14","Asian Cup qualifier",0,0,0,0,0,1
"Singapore","Bahrain","2017-11-14","Asian Cup qualifier",0,3,0,3,0,1
"Hungary","Costa Rica","2017-11-14","Friendly",1,0,1,0,0,1
"Qatar","Iceland","2017-11-14","Friendly tournament",1,1,1,1,0,1
"Austria","Uruguay","2017-11-14","Friendly",2,1,2,1,0,1
"Turkmenistan","Taiwan","2017-11-14","Asian Cup qualifier",2,1,2,1,0,1
"Germany","France","2017-11-14","Friendly",2,2,2,2,0,1
"Wales","Panama","2017-11-14","Friendly",1,1,1,1,0,1
"Slovakia","Norway","2017-11-14","Friendly",1,0,1,0,0,1
"Romania","Netherlands","2017-11-14","Friendly",0,3,0,3,0,1
"China","Colombia","2017-11-14","Friendly",0,4,0,4,0,1
"India","Myanmar","2017-11-14","Asian Cup qualifier",2,2,2,2,0,1
"Italy","Sweden","2017-11-13","World Cup qualifier",0,0,0,0,0,1
"Turkey","Albania","2017-11-13","Friendly",2,3,2,3,0,1
