"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeAdvantage","HomeAttack","HomeDefense","AwayAttack","AwayDefense","HomeAttackNext","HomeDefenseNext","AwayAttackNext","AwayDefenseNext"
"Azerbaijan","Croatia","2015-09-03","EUC-Q",0,0,1,-0.2238,0.0804,0.6671,-0.1525,-0.2982,-0.1256,0.4825,-0.2197
"Belgium","Bosnia-Herzegovina","2015-09-03","EUC-Q",3,1,1,0.3792,-0.4123,0.3292,0.1466,0.4334,-0.3494,0.4012,0.2086
"Bulgaria","Norway","2015-09-03","EUC-Q",0,1,1,0.1537,0.166,-0.0185,0.0187,0.0084,0.2021,0.0176,-0.1264
"Cyprus","Wales","2015-09-03","EUC-Q",0,1,1,-0.0294,0.4274,0.2083,-0.2182,-0.1215,0.3823,0.1632,-0.3104
"Czech Republic","Kazakhstan","2015-09-03","EUC-Q",2,1,1,0.5697,0.1153,-0.2516,0.3742,0.513,0.2044,-0.1619,0.3171
"Israel","Andorra","2015-09-03","EUC-Q",4,0,1,0.1932,0.4027,-0.6356,1.0298,0.1823,0.3172,-0.7298,1.0177
"Italy","Malta","2015-09-03","EUC-Q",1,0,1,0.4802,-0.1807,-0.6202,0.4962,0.3693,-0.1884,-0.629,0.3698
"Netherlands","Iceland","2015-09-03","EUC-Q",0,1,1,0.7992,-0.2466,0.6652,-0.2444,0.6531,-0.255,0.6546,-0.4309
"Turkey","Latvia","2015-09-03","EUC-Q",1,1,1,0.1064,-0.0563,-0.359,0.2331,0.0683,0.0906,-0.2122,0.195
"Belarus","Spain","2015-06-14","EUC-Q",0,1,1,-0.0355,0.4293,0.6314,-0.3095,-0.115,0.3225,0.544,-0.3747
"Estonia","San Marino","2015-06-14","EUC-Q",2,0,1,-0.4717,0.1804,-0.79,1.0859,-0.4767,0.1414,-0.829,1.0809
"Liechtenstein","Moldova","2015-06-14","EUC-Q",1,1,1,-0.5663,0.5292,-0.3233,0.4239,-0.5236,0.5546,-0.2977,0.4669
"Lithuania","Switzerland","2015-06-14","EUC-Q",1,2,1,-0.411,0.2625,0.5311,-0.1106,-0.2956,0.2781,0.5441,-0.0144
"Russia","Austria","2015-06-14","EUC-Q",0,1,1,0.2892,-0.1811,0.4811,-0.2426,0.1799,-0.1732,0.4903,-0.3706
"Slovakia","Macedonia","2015-06-14","EUC-Q",2,1,1,0.3323,-0.2499,-0.1156,0.5909,0.279,-0.1151,0.0195,0.5374
"Slovenia","England","2015-06-14","EUC-Q",2,3,1,0.2379,-0.1135,0.5922,-0.3195,0.3614,0.0281,0.7158,-0.2118
"Sweden","Montenegro","2015-06-14","EUC-Q",3,1,1,0.4411,-0.0993,-0.2035,0.2668,0.475,0.0215,-0.0809,0.3013
"Ukraine","Luxembourg","2015-06-14","EUC-Q",3,0,1,0.0363,-0.3854,-0.2671,0.7097,0.0637,-0.4175,-0.2994,0.7372
"Armenia","Portugal","2015-06-13","EUC-Q",2,3,1,0.252,0.1333,0.3406,-0.087,0.3332,0.2878,0.4745,-0.017
"Denmark","Serbia","2015-06-13","EUC-Q",2,0,1,0.4242,0.0262,0.2066,0.3348,0.3883,-0.1682,0.0422,0.304
"Faroe Islands","Greece","2015-06-13","EUC-Q",2,1,1,-0.3964,0.4263,-0.1714,-0.0955,-0.1859,0.443,-0.1575,0.0821
"Finland","Hungary","2015-06-13","EUC-Q",0,1,1,0.0403,0.2553,-7e-04,0.0467,-0.0935,0.2723,0.0162,-0.086
"Gibraltar","Germany","2015-06-13","EUC-Q",0,7,1,-0.4136,1.0938,0.8657,-0.397,-0.4212,1.102,0.8712,-0.4021
"Northern Ireland","Romania","2015-06-13","EUC-Q",0,0,1,0.1747,0.0808,0.2159,-0.3821,0.0794,-0.0746,0.0594,-0.478
"Poland","Georgia","2015-06-13","EUC-Q",4,0,1,0.7394,-0.1335,-0.3381,0.1719,0.7804,-0.1924,-0.3986,0.214
"Republic of Ireland","Scotland","2015-06-13","EUC-Q",1,1,1,0.3079,-0.0839,0.3492,-0.0057,0.2765,-0.069,0.3644,-0.0377
"Andorra","Cyprus","2015-06-12","EUC-Q",1,3,1,-0.7226,0.9675,-0.0915,0.3406,-0.6356,1.0298,-0.0294,0.4274
"Bosnia-Herzegovina","Israel","2015-06-12","EUC-Q",3,1,1,0.292,0.1435,0.1901,0.3651,0.3292,0.1466,0.1932,0.4027
"Croatia","Italy","2015-06-12","EUC-Q",1,1,1,0.7342,-0.158,0.475,-0.1165,0.6671,-0.1525,0.4802,-0.1807
"Iceland","Czech Republic","2015-06-12","EUC-Q",2,1,1,0.7101,-0.2518,0.5624,0.1599,0.6652,-0.2444,0.5697,0.1153
"Kazakhstan","Turkey","2015-06-12","EUC-Q",0,1,1,-0.1403,0.4037,0.136,0.0549,-0.2516,0.3742,0.1064,-0.0563
"Latvia","Netherlands","2015-06-12","EUC-Q",0,2,1,-0.3064,0.2651,0.8224,-0.2087,-0.359,0.2331,0.7992,-0.2466
"Malta","Bulgaria","2015-06-12","EUC-Q",0,1,1,-0.5354,0.5612,0.2191,0.2513,-0.6202,0.4962,0.1537,0.166
"Norway","Azerbaijan","2015-06-12","EUC-Q",0,0,1,0.1476,0.1464,-0.0953,0.2476,-0.0185,0.0187,-0.2238,0.0804
"Wales","Belgium","2015-06-12","EUC-Q",1,0,1,0.1296,-0.0458,0.4984,-0.4688,0.2083,-0.2182,0.3792,-0.4123
"Israel","Belgium","2015-03-31","EUC-Q",0,1,1,0.2784,0.4447,0.5581,-0.4027,0.1901,0.3651,0.4984,-0.4688
"Albania","Armenia","2015-03-29","EUC-Q",2,1,1,0.1946,-0.2988,0.1473,0.0688,0.2616,-0.1902,0.252,0.1333
"Georgia","Germany","2015-03-29","EUC-Q",0,2,1,-0.311,0.2062,0.8867,-0.3805,-0.3381,0.1719,0.8657,-0.397
"Hungary","Greece","2015-03-29","EUC-Q",0,0,1,0.1405,0.1837,-0.0695,0.0095,-7e-04,0.0467,-0.1714,-0.0955
"Northern Ireland","Finland","2015-03-29","EUC-Q",2,1,1,0.1342,0.0172,-0.0246,0.2138,0.1747,0.0808,0.0403,0.2553
"Portugal","Serbia","2015-03-29","EUC-Q",2,1,1,0.361,-0.147,0.1319,0.3605,0.3406,-0.087,0.2066,0.3348
